Wall time,Step,Value
1508530012.3188257,2,0.5062499642372131
1508530012.320913,3,0.6034090518951416
1508530012.3231146,4,0.5727272629737854
1508530012.3257282,5,0.6089161038398743
1508530012.32783,6,0.5790771842002869
1508530012.329728,7,0.6066308617591858
1508530012.3317602,8,0.6169635057449341
1508530013.340436,9,0.7535710334777832
1508530013.3437734,10,0.8767855167388916
1508530013.3463454,11,0.9351502656936646
1508530013.3484335,12,0.9080826640129089
1508530013.3505085,13,0.92069011926651
1508530013.3526268,14,0.8764305114746094
1508530013.3548722,15,0.8758707642555237
1508530013.3571448,16,0.8521067500114441
1508530013.3592675,17,0.8378483057022095
1508530014.3629935,18,0.6992661952972412
1508530014.3655548,19,0.7578441500663757
1508530014.3678813,20,0.8356799483299255
1508530014.3698933,21,0.8866758346557617
1508530014.3719516,22,0.8831731081008911
1508530014.3738768,23,0.8445099592208862
1508530014.3763888,24,0.8706634044647217
1508530014.3784628,25,0.8888915777206421
1508530014.3807266,26,0.8852143883705139
1508530015.3842843,27,0.9147306680679321
1508530015.3865714,28,0.8579230308532715
1508530015.389887,29,0.8924822807312012
1508530015.3918867,30,0.8964158892631531
1508530015.3937166,31,0.8993409276008606
1508530015.395774,32,0.9079267382621765
1508530015.398303,33,0.9281379580497742
1508530015.4008322,34,0.9301441311836243
1508530015.402862,35,0.9447651505470276
1508530016.4062307,36,0.9560632109642029
1508530016.408331,37,0.9523505568504333
1508530016.4103434,38,0.8638471961021423
1508530016.4122105,39,0.8899189829826355
1508530016.4140303,40,0.8935137391090393
1508530016.4158595,41,0.8963748812675476
1508530016.4177139,42,0.915027379989624
1508530016.4200022,43,0.9300225377082825
1508530016.4219089,44,0.9313167333602905
1508530017.4278393,45,0.9429799318313599
1508530017.437887,46,0.9524832963943481
1508530017.4484384,47,0.9602587819099426
1508530017.4539323,48,0.9365118145942688
1508530017.4584527,49,0.9465362429618835
1508530017.4620438,50,0.9548323154449463
1508530017.4650924,51,0.9617223143577576
1508530017.4678514,52,0.9674639701843262
1508530017.4707968,53,0.9722643494606018
1508530018.476543,54,0.9762904644012451
1508530018.4809062,55,0.9707489609718323
1508530018.4847522,56,0.9748623967170715
1508530018.488685,57,0.9783430099487305
1508530018.4927757,58,0.9216371774673462
1508530018.496962,59,0.9237679839134216
1508530018.501134,60,0.9338575005531311
1508530018.5058951,61,0.9424847960472107
1508530018.5104325,62,0.9498795866966248
1508530019.516848,63,0.9562329053878784
1508530019.519644,64,0.9617037773132324
1508530019.5219905,65,0.9587197303771973
1508530019.5243702,66,0.9637402892112732
1508530019.52677,67,0.9680914282798767
1508530019.529885,68,0.9052582383155823
1508530019.5321805,69,0.916331946849823
