Wall time,Step,Value
1508529482.7067816,3,3.8337972164154053
1508529482.7114687,5,3.7225489616394043
1508529482.7158086,7,3.7330377101898193
1508529482.717488,8,3.439558506011963
1508529482.7211406,10,3.2990989685058594
1508529482.7255104,12,3.49879789352417
1508529482.7275398,13,3.352837085723877
1508529482.7295396,14,3.17503023147583
1508529482.7313461,15,3.05733060836792
1508529482.7331538,16,3.0892951488494873
1508529482.735079,17,3.0234644412994385
1508529482.7372735,18,2.9423484802246094
1508529482.739355,19,2.9077670574188232
1508529482.7411518,20,2.839776039123535
1508529482.743045,21,2.6504318714141846
1508529482.74481,22,2.67733097076416
1508529482.7485025,24,2.549079656600952
1508529482.752043,26,2.4764726161956787
1508529482.7537625,27,2.3518435955047607
1508529483.8017786,32,2.11570143699646
1508529483.8111043,33,1.9710396528244019
1508529483.8175015,34,2.063199520111084
1508529483.8219965,35,2.3910140991210938
1508529483.8253736,36,2.4222354888916016
1508529483.8309329,38,2.316287040710449
1508529483.8388853,41,2.087898015975952
1508529483.8414016,42,2.0050528049468994
1508529483.8462143,44,2.1299970149993896
1508529483.848646,45,2.048527956008911
1508529483.8510003,46,1.9921456575393677
1508529483.8534303,47,1.9227725267410278
1508529483.8579953,49,1.827311396598816
1508529483.8628454,51,1.8035674095153809
1508529483.8652112,52,1.7136073112487793
1508529483.872242,55,1.7544143199920654
1508529483.8745902,56,1.65888249874115
1508529483.876889,57,1.7124487161636353
1508529484.8806756,58,2.2096445560455322
1508529484.8826523,59,2.0608291625976562
1508529484.889557,62,1.7624125480651855
1508529484.8915524,63,1.676574945449829
1508529484.893571,64,1.6882113218307495
1508529484.895371,65,1.6467540264129639
1508529484.8971608,66,1.549848198890686
1508529484.899016,67,1.482795000076294
1508529484.9007368,68,1.4452149868011475
1508529484.9027793,69,1.4620449542999268
1508529484.9048362,70,1.4958667755126953
1508529484.906865,71,1.4217296838760376
1508529484.9115129,73,1.3670706748962402
1508529484.9133227,74,1.4119071960449219
1508529484.9150703,75,1.4050922393798828
1508529484.916791,76,1.4583184719085693
1508529484.921054,78,1.3717316389083862
1508529484.9250984,80,1.3435754776000977
1508529484.927219,81,1.3809975385665894
1508529484.9313087,83,1.3384859561920166
1508529484.9331653,84,1.4179848432540894
1508529484.937569,86,1.4100195169448853
1508529485.9413483,87,1.3819079399108887
1508529485.9442658,88,1.8815996646881104
1508529485.9473267,89,1.7665321826934814
1508529485.9505255,90,1.599818468093872
1508529485.9539032,91,1.4457563161849976
1508529485.9618533,93,1.3334100246429443
1508529485.9658763,94,1.2601470947265625
1508529485.9704576,95,1.2379359006881714
1508529485.9744413,96,1.2367842197418213
1508529485.9826655,98,1.1440523862838745
1508529485.9957776,101,1.0566191673278809
1508529486.0000045,102,1.1339836120605469
1508529486.0080304,104,1.157238245010376
1508529486.016195,106,1.1246145963668823
1508529486.0202131,107,1.0801737308502197
1508529486.0245166,108,1.0704139471054077
1508529486.0379338,111,1.0670268535614014
1508529486.0419364,112,1.1391164064407349
1508529486.0544403,115,1.122125267982483
1508529487.0648649,118,1.627105951309204
1508529487.0697403,120,1.4812531471252441
1508529487.0721254,121,1.4850211143493652
1508529487.0745928,122,1.4348180294036865
1508529487.0830467,126,1.205824851989746
1508529487.0849886,127,1.2117818593978882
1508529487.0871775,128,1.1504803895950317
1508529487.089393,129,1.1042081117630005
1508529487.0951617,131,1.0628060102462769
1508529487.0971186,132,1.0481860637664795
1508529487.103762,135,1.0161267518997192
1508529487.110038,138,0.9156306385993958
1508529487.1118839,139,0.8714087605476379
1508529487.117622,141,0.7914837002754211
1508529487.1217484,143,0.7612262964248657
1508529487.12368,144,0.756982147693634
1508529488.127616,145,0.7386467456817627
1508529488.1316996,146,0.8000538349151611
1508529488.135685,147,0.8171219825744629
1508529488.139658,148,1.5230185985565186
1508529488.1473804,150,1.2696812152862549
1508529488.1513243,151,1.1505073308944702
1508529488.155273,152,1.1030194759368896
1508529488.1594315,153,1.0548311471939087
1508529488.1675231,155,0.9849863052368164
1508529488.1714168,156,0.9499218463897705
1508529488.1752093,157,0.927193284034729
1508529488.1832314,159,0.871644914150238
1508529488.187483,160,0.877590537071228
1508529488.1917458,161,0.8580277562141418
1508529488.2010612,163,0.7922978401184082
1508529488.204564,164,0.7873680591583252
1508529488.2110982,166,0.8132972717285156
1508529488.2135718,167,0.8441023230552673
1508529488.2186987,169,0.8418395519256592
1508529488.220874,170,0.8244056105613708
1508529488.22296,171,0.789104163646698
1508529488.227364,173,0.7013776302337646
1508529489.2312622,174,0.6895310282707214
1508529489.2370384,177,0.6952283978462219
1508529489.2391176,178,1.4586929082870483
1508529489.2421768,179,1.3601480722427368
1508529489.24432,180,1.3073899745941162
1508529489.2482533,182,1.0925393104553223
1508529489.2500808,183,1.068793535232544
1508529489.253766,185,0.9772741794586182
1508529489.257687,187,0.9473050236701965
1508529489.2603502,188,0.885269820690155
1508529489.2622848,189,0.888897716999054
1508529489.2642133,190,0.8326712846755981
1508529489.2683082,192,0.8189662098884583
1508529489.2701726,193,0.7897335290908813
1508529489.2761323,196,0.7289134860038757
1508529489.2840328,200,0.7008841633796692
1508529490.2934332,204,0.660138726234436
1508529490.2996128,207,0.5766329765319824
1508529490.3017561,208,1.4889556169509888
1508529490.3040464,209,1.3978832960128784
1508529490.3066742,210,1.2694109678268433
1508529490.308667,211,1.1476430892944336
1508529490.3152573,214,0.9701746106147766
1508529490.317442,215,0.8971267342567444
1508529490.3201683,216,0.8455623388290405
1508529490.322224,217,0.8166435360908508
1508529490.3325064,220,0.712965726852417
1508529490.334508,221,0.7402364611625671
1508529490.3364356,222,0.7775598764419556
1508529490.33837,223,0.7220219373703003
1508529490.3402333,224,0.7030686140060425
1508529490.342264,225,0.6636743545532227
1508529490.3465145,227,0.653213620185852
1508529490.34858,228,0.6271923184394836
1508529490.3508933,229,0.615208089351654
1508529490.3548615,231,0.5585724115371704
1508529491.3582897,232,0.5686578750610352
1508529491.3615274,233,0.5411475896835327
1508529491.3644955,234,0.5479333400726318
1508529491.3673184,235,0.5288438200950623
1508529491.3700264,236,0.5364999175071716
1508529491.3726203,237,0.5300947427749634
1508529491.3770218,239,1.1432764530181885
1508529491.379073,240,1.0617989301681519
1508529491.3832774,242,0.8840769529342651
1508529491.392097,246,0.7062250375747681
1508529491.39411,247,0.6910343170166016
1508529491.3984654,249,0.6400308012962341
1508529491.4006877,250,0.6323549747467041
1508529491.4028754,251,0.5890718102455139
1508529491.404849,252,0.5713335871696472
1508529491.407155,253,0.5478900671005249
1508529491.409287,254,0.5335671305656433
1508529491.4160495,257,0.4958844482898712
1508529491.4227242,260,0.4749651551246643
1508529492.42602,261,0.4957869350910187
1508529492.428261,262,0.4754229485988617
1508529492.4303634,263,0.4867931306362152
1508529492.434374,265,0.45810312032699585
1508529492.438395,267,0.44527772068977356
1508529492.4424052,269,1.1645647287368774
1508529492.4463472,271,0.9514392018318176
1508529492.4501824,273,0.8508510589599609
1508529492.4520843,274,0.7962808609008789
1508529492.4550707,275,0.7302200794219971
1508529492.4572103,276,0.672833263874054
1508529492.4591496,277,0.6282831430435181
