Wall time,Step,Value
1508529397.4028425,3,3.647996187210083
1508529397.4533856,5,3.9850409030914307
1508529397.5017257,7,3.6044414043426514
1508529397.527256,8,3.6121370792388916
1508529397.5750546,10,3.438947916030884
1508529397.6224728,12,3.289736747741699
1508529397.646746,13,3.405463457107544
1508529397.671299,14,3.268559694290161
1508529397.694994,15,3.3664116859436035
1508529397.7186022,16,3.4651098251342773
1508529397.7422187,17,3.430621862411499
1508529397.767096,18,3.411442756652832
1508529397.7910886,19,3.3686954975128174
1508529397.815463,20,3.1064794063568115
1508529397.8398867,21,3.119945764541626
1508529397.8636494,22,3.185779333114624
1508529397.9126573,24,3.287626028060913
1508529397.958618,26,3.1473708152770996
1508529397.9790225,27,3.1573946475982666
1508529399.127147,32,2.428213119506836
1508529399.1503866,33,2.4725189208984375
1508529399.1746876,34,2.624964714050293
1508529399.1985712,35,2.632646322250366
1508529399.2228236,36,2.565701961517334
1508529399.2717116,38,2.4766883850097656
1508529399.3448057,41,2.5611536502838135
1508529399.3687017,42,2.6242408752441406
1508529399.4173079,44,2.658491849899292
1508529399.441554,45,2.679828643798828
1508529399.465783,46,2.6662440299987793
1508529399.4894962,47,2.6450560092926025
1508529399.5364232,49,2.493849754333496
1508529399.5842738,51,2.4677889347076416
1508529399.6074824,52,2.4412078857421875
1508529399.6788177,55,2.4810056686401367
1508529399.6989732,56,2.457059621810913
1508529399.7196133,57,2.395087718963623
1508529400.7591197,58,2.4068942070007324
1508529400.7779918,59,2.294510841369629
1508529400.850474,62,1.9548479318618774
1508529400.876192,63,1.9532809257507324
1508529400.900198,64,2.0352468490600586
1508529400.9249818,65,2.112469434738159
1508529400.9495912,66,2.0863356590270996
1508529400.9737349,67,2.0621955394744873
1508529400.9972534,68,2.060317039489746
1508529401.0219085,69,2.110917329788208
1508529401.04632,70,2.1022393703460693
1508529401.0711117,71,2.110025644302368
1508529401.1187694,73,2.011680841445923
1508529401.143892,74,2.0078134536743164
1508529401.1684413,75,2.0178139209747314
1508529401.1924107,76,1.9664243459701538
1508529401.2397661,78,1.8831597566604614
1508529401.2892969,80,1.7985843420028687
1508529401.314544,81,1.8452094793319702
1508529401.3635266,83,1.8320268392562866
1508529401.3874063,84,1.8114742040634155
1508529401.4338648,86,1.8142033815383911
1508529402.4680567,87,1.8399543762207031
1508529402.4976594,88,1.8732385635375977
1508529402.5190542,89,1.7696326971054077
1508529402.541276,90,1.6525418758392334
1508529402.5704248,91,1.5395503044128418
1508529402.622915,93,1.4759249687194824
1508529402.6469085,94,1.543694019317627
1508529402.6716092,95,1.5446951389312744
1508529402.6959355,96,1.5751951932907104
1508529402.7441351,98,1.6119886636734009
1508529402.8158863,101,1.5772137641906738
1508529402.8398535,102,1.573211431503296
1508529402.8879523,104,1.5247879028320312
1508529402.9385498,106,1.5064083337783813
1508529402.9623215,107,1.5452358722686768
1508529402.9859004,108,1.5588546991348267
1508529403.0574837,111,1.5231226682662964
1508529403.0821521,112,1.4731976985931396
1508529403.1537993,115,1.436940312385559
1508529404.2331555,118,1.4873098134994507
1508529404.270312,120,1.4926276206970215
1508529404.295894,121,1.4364447593688965
1508529404.3215199,122,1.3490573167800903
1508529404.4189098,126,1.3651424646377563
1508529404.4438546,127,1.4127765893936157
1508529404.468353,128,1.4075692892074585
1508529404.4930108,129,1.3554012775421143
1508529404.5399735,131,1.3562800884246826
1508529404.564769,132,1.3643527030944824
1508529404.6379235,135,1.3412786722183228
1508529404.7093554,138,1.2788439989089966
1508529404.7341797,139,1.3020291328430176
