Wall time,Step,Value
1508526372.9410882,7,0.2862292528152466
1508526372.9537582,13,0.3288959860801697
1508526372.960759,16,0.3874589502811432
1508526372.9628391,17,0.4435460865497589
1508526372.9693198,20,0.2973557412624359
1508526372.98285,26,0.4513704776763916
1508526373.0082529,38,0.8007911443710327
1508526373.0166507,42,0.593860387802124
1508526373.020964,44,0.566745400428772
1508526373.0248392,46,0.4960728883743286
1508526373.0267866,47,0.45106062293052673
1508526373.0311,49,0.4315594434738159
1508526373.0431905,55,0.3210875391960144
1508526373.045339,56,0.34883198142051697
1508526373.0475128,57,0.36878931522369385
1508526373.0499017,58,0.35848352313041687
1508526374.397306,67,0.29224029183387756
1508526374.420006,70,0.30673670768737793
1508526374.4354565,73,0.29689958691596985
1508526374.439605,74,0.30719467997550964
1508526374.443426,75,0.28758859634399414
1508526374.4482453,76,0.28110647201538086
1508526374.4636602,81,0.2380487471818924
1508526374.483683,89,0.34187790751457214
1508526374.5011141,96,0.7223769426345825
1508526374.5196726,104,0.5790013074874878
1508526374.5262403,107,0.4971282482147217
1508526374.528449,108,0.46566176414489746
1508526374.5441418,115,0.4358537495136261
1508526374.556119,120,0.4053078293800354
1508526375.8844187,128,0.3657255172729492
1508526375.8957775,131,0.41319984197616577
1508526375.8991935,132,0.4163493812084198
1508526375.9214475,141,0.37330055236816406
1508526375.9258912,143,0.36601340770721436
1508526375.9281018,144,0.360202819108963
1508526375.9306464,145,0.3593842089176178
1508526375.9497263,152,0.32327497005462646
1508526375.961303,157,0.2848331332206726
1508526375.9664626,159,0.279571533203125
1508526375.968663,160,0.7345541715621948
1508526375.9777598,164,0.5725983381271362
1508526375.9896774,169,0.5238115787506104
1508526375.9919164,170,0.5295271277427673
1508526375.9994137,173,0.4671989381313324
1508526376.013376,179,0.4147241711616516
1508526376.015946,180,0.4138410687446594
1508526376.020399,182,0.3773081600666046
1508526376.02763,185,0.3695201873779297
1508526376.0323033,187,0.34422072768211365
1508526376.0347865,188,0.33795681595802307
1508526377.3448224,190,0.36111485958099365
1508526377.3575099,192,0.3516249358654022
1508526377.3611045,193,0.3463098704814911
1508526377.3862584,200,0.31521427631378174
1508526377.4133487,208,0.34031975269317627
1508526377.4167826,209,0.3376264274120331
