Wall time,Step,Value
1508527617.7451668,5,0.003933565691113472
1508527617.7944045,7,0.10770479589700699
1508527617.818045,8,0.1525895893573761
1508527617.9132674,12,0.15899023413658142
1508527617.9368846,13,0.1444229930639267
1508527617.984568,15,0.28539523482322693
1508527618.0074577,16,0.29555952548980713
1508527618.030632,17,0.2566581070423126
1508527618.0538716,18,0.21108414232730865
1508527618.077212,19,0.26572275161743164
1508527618.1000736,20,0.3209368586540222
1508527618.1229503,21,0.29892197251319885
1508527618.1468244,22,0.2654953896999359
1508527618.2395627,26,0.3270377814769745
1508527618.2625215,27,0.38758519291877747
1508527618.3786938,32,0.3107225298881531
1508527620.0148265,35,0.33134377002716064
1508527620.0475254,36,0.39140981435775757
1508527620.1096375,38,0.4279506802558899
1508527620.1893096,41,0.4184163510799408
1508527620.2161212,42,0.39935141801834106
1508527620.2697368,44,0.46560752391815186
1508527620.2961946,45,0.5245137810707092
1508527620.3212554,46,0.5204281210899353
1508527620.3463862,47,0.547767162322998
1508527620.3946042,49,0.5436286926269531
1508527620.4420402,51,0.5476739406585693
1508527620.465944,52,0.5217728614807129
1508527620.5376089,55,0.5170322060585022
1508527620.5611842,56,0.5673714280128479
1508527620.584922,57,0.5407353639602661
1508527620.608947,58,0.5437032580375671
1508527620.6329255,59,0.5630192160606384
1508527620.703484,62,0.5744462013244629
1508527620.7270353,63,0.5570868253707886
1508527620.7737064,65,0.5352309942245483
1508527620.8204105,67,0.5347325801849365
1508527620.843856,68,0.5454221367835999
1508527620.866774,69,0.5620286464691162
1508527622.4233465,70,0.5692945718765259
1508527622.538328,73,0.5673110485076904
1508527622.5686066,74,0.5805025100708008
1508527622.5935323,75,0.5785504579544067
1508527622.6176455,76,0.5835272073745728
1508527622.6656444,78,0.5977241396903992
1508527622.713203,80,0.6280272006988525
1508527622.737071,81,0.6277210712432861
1508527622.8567543,86,0.6489742994308472
1508527622.8801687,87,0.6590768694877625
1508527622.903491,88,0.6369192004203796
1508527622.9274778,89,0.6419773101806641
1508527622.9516518,90,0.6652795672416687
1508527622.9755485,91,0.6862516403198242
1508527623.0906289,96,0.7341834902763367
1508527623.274069,104,0.7263169884681702
1508527624.8583264,106,0.7264418005943298
1508527624.8997862,107,0.7225475907325745
