Wall time,Step,Value
1508527617.7451668,5,2.7870936393737793
1508527617.7944045,7,2.6649723052978516
1508527617.818045,8,2.5959560871124268
1508527617.9132674,12,2.459146499633789
1508527617.9368846,13,2.5028045177459717
1508527617.984568,15,2.340993881225586
1508527618.0074577,16,2.274505138397217
1508527618.030632,17,2.2985117435455322
1508527618.0538716,18,2.3404979705810547
1508527618.077212,19,2.213718891143799
1508527618.1000736,20,2.1071043014526367
1508527618.1229503,21,2.173218250274658
1508527618.1468244,22,2.279780149459839
1508527618.2395627,26,2.103438377380371
1508527618.2625215,27,2.0138940811157227
1508527618.3786938,32,1.9617263078689575
1508527620.0148265,35,1.9145830869674683
1508527620.0475254,36,1.852359652519226
1508527620.1096375,38,1.7751721143722534
1508527620.1893096,41,1.7043633460998535
1508527620.2161212,42,1.7068606615066528
1508527620.2697368,44,1.632170557975769
1508527620.2961946,45,1.5140466690063477
1508527620.3212554,46,1.5049992799758911
1508527620.3463862,47,1.4176503419876099
1508527620.3946042,49,1.48555588722229
1508527620.4420402,51,1.448191523551941
1508527620.465944,52,1.5118345022201538
1508527620.5376089,55,1.5157057046890259
1508527620.5611842,56,1.4160637855529785
1508527620.584922,57,1.4136847257614136
1508527620.608947,58,1.3768357038497925
1508527620.6329255,59,1.3351777791976929
1508527620.703484,62,1.2260338068008423
1508527620.7270353,63,1.2088931798934937
1508527620.7737064,65,1.301148533821106
1508527620.8204105,67,1.2912358045578003
1508527620.843856,68,1.2532187700271606
1508527620.866774,69,1.2607910633087158
1508527622.4233465,70,1.2453429698944092
1508527622.538328,73,1.210120439529419
1508527622.5686066,74,1.1828489303588867
1508527622.5935323,75,1.2080835103988647
1508527622.6176455,76,1.260450005531311
1508527622.6656444,78,1.1932761669158936
1508527622.713203,80,1.1278516054153442
1508527622.737071,81,1.09769868850708
1508527622.8567543,86,1.0585449934005737
1508527622.8801687,87,1.0169845819473267
1508527622.903491,88,1.0639169216156006
1508527622.9274778,89,1.0559483766555786
1508527622.9516518,90,1.0031394958496094
1508527622.9755485,91,0.9686411023139954
1508527623.0906289,96,0.8264608979225159
1508527623.274069,104,0.9159775972366333
1508527624.8583264,106,0.8996949195861816
1508527624.8997862,107,0.917769730091095
1508527624.9358673,108,0.8700829744338989
1508527625.1248336,115,0.8149852752685547
1508527625.1935475,118,0.787922739982605
1508527625.2394161,120,0.8080176711082458
1508527625.262714,121,0.7827977538108826
1508527625.2859385,122,0.7696277499198914
1508527625.3792734,126,0.746305525302887
1508527625.4026349,127,0.7627660036087036
1508527625.4260452,128,0.7347729802131653
1508527625.495944,131,0.7054796814918518
1508527625.5191426,132,0.6894130706787109
1508527625.5872505,135,0.6354783177375793
1508527625.6797369,139,0.6064636707305908
1508527627.2603743,141,0.6143690943717957
1508527627.3237727,143,0.6154788136482239
1508527627.3480854,144,0.6262990236282349
1508527627.372161,145,0.6387137770652771
1508527627.396444,146,0.6292393207550049
1508527627.4211118,147,0.661567211151123
1508527627.444931,148,0.6950653791427612
1508527627.491405,150,0.631163477897644
1508527627.53851,152,0.6015077829360962
1508527627.6095934,155,0.5892769694328308
1508527627.6326804,156,0.6026275157928467
1508527627.6560953,157,0.5768048167228699
1508527627.7021286,159,0.6229208111763
1508527627.725192,160,0.6025968790054321
1508527627.7483416,161,0.5931648015975952
1508527627.7943738,163,0.5741693377494812
1508527627.8174832,164,0.5745421648025513
1508527627.8641496,166,0.5436891913414001
1508527627.8866968,167,0.548187792301178
1508527627.9328365,169,0.5514466762542725
1508527627.955953,170,0.5575064420700073
1508527628.0249145,173,0.5588088035583496
1508527629.65062,177,0.4842890202999115
1508527629.6750731,178,0.45641177892684937
1508527629.6991131,179,0.43802517652511597
1508527629.722673,180,0.46252304315567017
1508527629.7702842,182,0.47078487277030945
1508527629.7942393,183,0.4971780776977539
1508527629.8418117,185,0.4471499025821686
1508527629.8900583,187,0.4044487476348877
1508527629.914342,188,0.4279528558254242
1508527629.9378579,189,0.40180468559265137
1508527629.9614704,190,0.37020963430404663
1508527630.0095794,192,0.35489898920059204
1508527630.0335813,193,0.34795692563056946
1508527630.197521,200,0.34734031558036804
1508527630.2917986,204,0.3394472002983093
1508527630.386031,208,0.31116583943367004
1508527630.4094799,209,0.3299049437046051
1508527631.9614604,210,0.34510135650634766
1508527632.058799,214,0.2919034957885742
1508527632.0833297,215,0.29788708686828613
1508527632.1074595,216,0.29015880823135376
1508527632.1319084,217,0.2825620472431183
1508527632.205455,220,0.31351354718208313
1508527632.2294014,221,0.32507672905921936
1508527632.3023558,224,0.34063392877578735
1508527632.3260074,225,0.3345418870449066
1508527632.373289,227,0.29791849851608276
1508527632.3963952,228,0.29807916283607483
1508527632.419843,229,0.2927040159702301
1508527632.4652467,231,0.2739129662513733
1508527632.4885643,232,0.268722802400589
1508527632.511385,233,0.2463691681623459
1508527632.5341525,234,0.24029293656349182
1508527632.5571268,235,0.2844536304473877
1508527632.5799897,236,0.33948299288749695
1508527632.6488032,239,0.30703362822532654
1508527632.6722598,240,0.301410436630249
1508527632.7176926,242,0.3092042803764343
1508527634.3368464,246,0.27712559700012207
1508527634.3606074,247,0.25359654426574707
1508527634.4092932,249,0.22689734399318695
1508527634.4570656,251,0.22894097864627838
1508527634.48077,252,0.2425827831029892
1508527634.5997102,257,0.23255448043346405
1508527634.6712458,260,0.2408195585012436
1508527634.6950812,261,0.2272772341966629
1508527634.7183661,262,0.2320770025253296
1508527634.7420871,263,0.22483807802200317
1508527634.789397,265,0.23193934559822083
1508527634.8840988,269,0.2237367480993271
1508527634.9319746,271,0.22919952869415283
1508527634.9795344,273,0.21394582092761993
1508527635.0027711,274,0.19948266446590424
1508527635.0266273,275,0.19665971398353577
1508527635.122712,279,0.1984022557735443
1508527636.705374,280,0.24962443113327026
1508527636.7828631,282,0.21954870223999023
1508527636.837941,284,0.21256700158119202
1508527636.8872597,286,0.22212213277816772
1508527637.0076509,291,0.23298227787017822
1508527637.056858,293,0.20311199128627777
1508527637.080909,294,0.19690300524234772
1508527637.1532924,297,0.20657353103160858
1508527637.201771,299,0.18958444893360138
1508527637.2267728,300,0.17289432883262634
1508527637.2505355,301,0.156991109251976
1508527637.2990074,303,0.15889140963554382
1508527637.3230848,304,0.15863175690174103
1508527637.347015,305,0.1606357842683792
1508527637.4430516,309,0.16687285900115967
1508527637.4674537,310,0.18919038772583008
1508527637.5154896,312,0.1705157309770584
1508527639.1168692,315,0.17445547878742218
1508527639.2175407,319,0.14540188014507294
1508527639.2426076,320,0.14308366179466248
1508527639.2661898,321,0.15527451038360596
1508527639.2894664,322,0.1587931364774704
1508527639.336967,324,0.1534586399793625
1508527639.4087675,327,0.14357168972492218
1508527639.432636,328,0.13017839193344116
1508527639.4561207,329,0.1421479731798172
1508527639.5262778,332,0.11917383968830109
1508527639.5503244,333,0.11408388614654541
1508527639.5962982,335,0.12154071033000946
1508527639.7363873,341,0.12158143520355225
1508527639.7839448,343,0.12497259676456451
1508527639.8069572,344,0.11662036180496216
1508527639.8306155,345,0.11212623864412308
1508527639.8536232,346,0.10962307453155518
1508527639.8768218,347,0.10864996165037155
1508527639.9235127,349,0.10652759671211243
1508527641.4914074,350,0.09666980057954788
1508527641.6622443,355,0.11005467176437378
1508527641.687483,356,0.12520627677440643
1508527641.738255,358,0.12294276058673859
1508527641.7860532,360,0.13264071941375732
1508527641.8095226,361,0.12521235644817352
1508527641.833629,362,0.13245654106140137
1508527641.8804746,364,0.14947068691253662
1508527641.9037695,365,0.145839124917984
1508527641.9277985,366,0.1372465044260025
1508527641.951731,367,0.1313115507364273
1508527641.9986959,369,0.12169866263866425
1508527642.0231178,370,0.11058424413204193
1508527642.0699205,372,0.09181135892868042
1508527642.093257,373,0.08767519146203995
1508527642.1406672,375,0.08465937525033951
1508527642.188673,377,0.08133764564990997
1508527642.2359188,379,0.08652116358280182
